tiempo;voip;vod;ftp
0;15.3;15.6;19.7
5;13;17.4;17.9
10;14.8;15.2;15.9
15;24.7;14.1;17.6
20;18.5;14.1;15.4
25;16.1;17.2;17.2
30;9.6;18.5;19
35;15.7;16;16.8
40;13.5;14.1;14.8
45;19.4;16;16.8
50;17.2;13.9;15
55;23.3;15.7;16.5
60;17;13.5;18.4
65;19.4;19.3;20.1
70;9.1;21.1;18.5
75;18.9;15.3;16
80;16.7;13.1;14
85;15.3;14.9;15.7
90;13.1;17;18.6
95;14.9;15.3;17.3
100;16.8;16.8;12.2
105;14.5;19;15.4
110;16.3;16.7;14.4
115;18.1;14.7;13.5
120;16;20.4;20.5
125;14;14.3;15.4
130;19.7;16.1;18.5
135;17.4;13.7;57.5
140;15.3;24;16.6
145;17;9.9;19.6
150;18.7;80;18.5
155;12.6;13.9;17.1
160;14.3;15.8;15.9
165;16;17.6;14.5
170;13.7;15.6;13.1
175;15.9;17.4;19.6
180;17.6;11.4;14.6
185;7.9;13.2;117.2
190;13.9;15.6;15.4
195;20.3;17.2;17.9
200;14.9;15.4;19.9
205;20.2;13.1;14
210;22.1;15.3;16
215;17.2;13;18.2
220;15.7;14.8;16.2
225;13.6;20.5;18.1
230;19.6;18.3;20.4
235;13.2;11.9;70.8
240;16;13.7;12.7
245;18.4;19.9;14.8
250;16.4;13.6;20.7
255;14.4;15.4;14.7
260;12.2;9.2;20.6
265;14.3;15.2;14.8
270;24.6;20.9;13
275;11.4;18.6;15.4
280;9;20.2;21.3
285;19.8;18;23.4
290;13.9;11.5;17.4
295;12;21.4;15.5
300;15;19.4;13.4
305;13.7;17.2;15.6
310;16.1;18.9;13.3
315;19;12.5;115.3
320;13.7;18.4;13.1
325;16.6;16.1;15.4
330;14.9;13.9;17.4
335;16.7;15.9;23.8
340;14.6;13.5;13.8
345;20.4;15.7;19.6
350;14.1;13.4;13.5
355;16;11;15.3
360;13.8;20.7;21
365;15.4;14.7;19
370;21.3;20.5;16.7
375;11.4;14.5;14.9
380;13.1;20.4;24.8
385;19;18.4;18.8
390;16.7;16.6;16.6
395;18.8;18.6;14.5
400;12.5;12.3;16.9
405;18.3;14;14.5
410;20;15.9;20.9
415;17.9;17.8;18.1
420;15.8;15.9;15.9
425;13.6;21.7;13.6
430;19.5;19.4;15.7
435;17.3;17.3;13.7
440;19;18.9;19.4
445;24.9;16.8;17.2
450;14.5;18.6;19.1
455;16.1;8.4;20.9
460;13.8;14.8;14.7
465;15.7;12.2;16.5
470;21.7;14.2;14.4
475;19.2;15.9;16.1
480;17.2;13.7;22.4
485;14.8;19.6;12.1
490;12.4;13.3;17.8
495;18.1;15.2;15.8
500;19.8;12.9;13.6
505;17.7;14.9;15.7
510;15.8;16.7;21.7
515;13.9;14.9;7.8
520;19.7;16.7;17.5
525;17.5;18.5;15.2
530;11.6;16.4;17.1
535;13.3;14.4;18.8
540;19.4;19.9;12.9
545;17.4;13.6;14.7
550;19.1;19.3;16.5
555;16.9;13;18
560;14.9;18.7;15.9
565;16.5;16.3;13.8
570;18.4;13.9;15.7
575;12.3;16;21.5
580;14.2;13.9;23.8
585;12;19.5;17.5
590;17.7;17.3;19.4
595;15.4;15.4;13.1
600;13.2;13.3;15.2
