tiempo;voip;vod;ftp
0;7.65;7.8;9.85
5;6.5;8.7;8.95
10;7.4;7.6;7.95
15;12.35;7.05;8.8
20;9.25;7.05;7.7
25;8.05;8.6;8.6
30;4.8;9.25;9.5
35;7.85;8;8.4
40;6.75;7.05;7.4
45;9.7;8;8.4
50;8.6;6.95;7.5
55;11.65;7.85;8.25
60;8.5;6.75;9.2
65;9.7;9.65;10.05
70;4.55;10.55;9.25
75;9.45;7.65;8
80;8.35;6.55;7
85;7.65;7.45;7.85
90;6.55;8.5;9.3
95;7.45;7.65;8.65
100;8.4;8.4;6.1
105;7.25;9.5;7.7
110;8.15;8.35;7.2
115;9.05;7.35;6.75
120;8;10.2;10.25
125;7;7.15;7.7
130;9.85;8.05;9.25
135;8.7;6.85;28.75
140;7.65;12;8.3
145;8.5;4.95;9.8
150;9.35;40;9.25
155;6.3;6.95;8.55
160;7.15;7.9;7.95
165;8;8.8;7.25
170;6.85;7.8;6.55
175;7.95;8.7;9.8
180;8.8;5.7;7.3
185;3.95;6.6;58.6
190;6.95;7.8;7.7
195;10.15;8.6;8.95
200;7.45;7.7;9.95
205;10.1;6.55;7
210;11.05;7.65;8
215;8.6;6.5;9.1
220;7.85;7.4;8.1
225;6.8;10.25;9.05
230;9.8;9.15;10.2
235;6.6;5.95;35.4
240;8;6.85;6.35
245;9.2;9.95;7.4
250;8.2;6.8;10.35
255;7.2;7.7;7.35
260;6.1;4.6;10.3
265;7.15;7.6;7.4
270;12.3;10.45;6.5
275;5.7;9.3;7.7
280;4.5;10.1;10.65
285;9.9;9;11.7
290;6.95;5.75;8.7
295;6;10.7;7.75
300;7.5;9.7;6.7
305;6.85;8.6;7.8
310;8.05;9.45;6.65
315;9.5;6.25;57.65
320;6.85;9.2;6.55
325;8.3;8.05;7.7
330;7.45;6.95;8.7
335;8.35;7.95;11.9
340;7.3;6.75;6.9
345;10.2;7.85;9.8
350;7.05;6.7;6.75
355;8;5.5;7.65
360;6.9;10.35;10.5
365;7.7;7.35;9.5
370;10.65;10.25;8.35
375;5.7;7.25;7.45
380;6.55;10.2;12.4
385;9.5;9.2;9.4
390;8.35;8.3;8.3
395;9.4;9.3;7.25
400;6.25;6.15;8.45
405;9.15;7;7.25
410;10;7.95;10.45
415;8.95;8.9;9.05
420;7.9;7.95;7.95
425;6.8;10.85;6.8
430;9.75;9.7;7.85
435;8.65;8.65;6.85
440;9.5;9.45;9.7
445;12.45;8.4;8.6
450;7.25;9.3;9.55
455;8.05;4.2;10.45
460;6.9;7.4;7.35
465;7.85;6.1;8.25
470;10.85;7.1;7.2
475;9.6;7.95;8.05
480;8.6;6.85;11.2
485;7.4;9.8;6.05
490;6.2;6.65;8.9
495;9.05;7.6;7.9
500;9.9;6.45;6.8
505;8.85;7.45;7.85
510;7.9;8.35;10.85
515;6.95;7.45;3.9
520;9.85;8.35;8.75
525;8.75;9.25;7.6
530;5.8;8.2;8.55
535;6.65;7.2;9.4
540;9.7;9.95;6.45
545;8.7;6.8;7.35
550;9.55;9.65;8.25
555;8.45;6.5;9
560;7.45;9.35;7.95
565;8.25;8.15;6.9
570;9.2;6.95;7.85
575;6.15;8;10.75
580;7.1;6.95;11.9
585;6;9.75;8.75
590;8.85;8.65;9.7
595;7.7;7.7;6.55
600;6.6;6.65;7.6
