tiempo;voip;vod;ftp
0;11.6;23.3;19.4
5;13.7;9.6;17.3
10;15.7;19.2;19.4
15;13.4;13;17.1
20;11.1;18.8;19.1
25;16.9;12.6;16.8
30;14.7;18.6;14.9
35;12.4;20.2;20.6
40;14.4;18.3;18.5
45;20.2;11.8;16.2
50;13.9;17.9;13.9
55;15.9;15.9;19.7
60;17.6;21.5;17.4
65;19.7;19.4;15.3
70;21.5;17.1;17
75;15.4;10.8;14.7
80;17.2;16.6;16.5
85;19.2;18.5;14.2
90;13.2;24.2;12
95;15.5;14.4;13.5
100;17.3;16;11.4
105;15.2;14.1;13.2
110;21;12;19.1
115;15.1;17.8;8.9
120;12.8;7.4;15.3
125;14.5;17.2;17.1
130;16.1;11.1;15.2
135;14;13.1;20.9
140;19.7;19;18.7
145;17.4;17;16.4
150;15.2;14.8;14.6
155;12.8;12.6;20.3
160;18.9;14.2;6.3
165;16.7;16;20.1
170;14.3;18.4;13.8
175;16.2;16.2;19.5
180;6.2;17.9;17.5
185;16.1;15.9;19.5
190;14;13.6;17.2
195;19.8;19.5;14.8
200;13.6;21.3;12.5
205;11.3;15.7;14.5
210;17.1;17.4;16.2
215;15;15.4;14.4
220;12.7;13.2;24.4
225;14.5;15.3;18.2
230;20.2;21;16
235;17.9;14.8;9.7
240;15.9;12.3;19.4
245;17.6;14.2;17.2
250;7.3;12.1;15.4
255;13.4;13.5;17.1
260;15.3;15.3;19.2
265;17;13.1;16.9
270;19.2;15.3;18.7
275;16.9;17.1;16.4
280;14.8;14.8;14.2
285;8.5;12.6;16
290;18.7;18.9;21.9
295;18.7;12.6;15.8
300;18.7;15;13.6
305;18.7;16.8;7.8
310;14.4;14.9;17.6
315;12;16.7;11.6
320;13.8;19.2;13.5
325;19.6;13.1;15.8
330;13.4;15;17.5
335;15.4;12.9;15.4
340;21;18.7;12.9
345;14.7;8.5;15.4
350;16.5;14.5;17.2
355;18.1;20.2;19.2
360;19.8;20.2;17.1
365;17.5;20.4;15.3
370;15.4;10;13.1
375;9.2;7.9;18.8
380;10.9;9.7;12.5
385;16.7;15.4;10.3
390;22.8;17.2;11.9
395;20.6;11.3;13.9
400;18.6;17;11.6
405;16.3;14.9;13.2
410;14;16.7;11.5
415;20;14.8;21.2
420;18.1;20.5;19.6
425;19.8;18.4;17.2
430;18;20.2;19.1
435;11.7;17.9;12.9
440;17.5;7.9;14.9
445;15.4;17.9;16.6
450;17.2;19.7;18.6
455;19.1;17.5;20.5
460;12.9;15.2;18.1
465;14.8;8.9;16
470;16.7;10.8;13.7
475;18.6;12.4;15.7
480;16.4;14.3;17.6
485;14.1;19.9;19.4
490;16;13.4;17.1
495;22;15.4;18.9
500;19.7;17.1;16.7
505;17.6;19;18.4
510;15.2;12.6;20.2
515;12.9;14.5;13.9
520;14.7;12.1;19.6
525;12.6;18.1;21.4
530;18.4;16;15.7
535;16.1;21.8;17.6
540;14.1;15.9;19.5
545;19.8;13.7;17.3
550;17.6;15.9;19.1
555;15.6;13.7;21.1
560;17.3;19.4;19.1
565;19.2;21.1;8.9
570;16.9;14.9;6.8
575;14.9;8.6;12.2
580;12.4;18.6;18.4
585;18.5;16.7;24.2
590;8.2;18.5;13.9
595;18;12.2;11.6
600;19.7;14;17.3
