tiempo;voip;vod;ftp
0;0.703;9.07;13.8
5;0.703;6.52;8.11
10;0.351;5.19;8.34
15;0.703;4.85;6.20
20;0.351;7.54;5.83
25;0.351;5.34;5.09
30;0.351;5.47;5.15
35;0.703;6.53;5.83
40;0.351;5.34;5.26
45;0.351;7.07;0.814
50;0.703;0.724;0.531
55;0.703;0.508;0.747
60;0.703;0.610;0.622
65;0.351;0.814;0.577
70;0.351;0.350;0.656
75;0.703;0.565;0.814
80;0.703;1.71;1.07
85;0.703;1.15;1.11
90;0.351;1.38;1.40
95;0.703;0.498;0.780
100;1.08;1.52;1.32
105;1.44;1.26;0.860
110;0.703;1.18;1.23
115;0.351;0.271;1.03
120;0.351;1.45;1.30
125;0.703;1.65;1.19
130;0.703;0.735;0.950
135;0.703;1.07;0.826
140;1.08;0.780;1.58
145;0.703;0.735;1.11
150;0.00;1.73;0.871
155;0.703;1.36;0.724
160;0.351;0.350;1.66
165;1.08;1.05;1.41
170;0.703;0.622;0.463
175;0.351;0.350;0.701
180;0.703;0.249;0.339
185;0.703;0.486;0.407
190;1.08;0.848;0.633
195;0.703;1.61;0.757
200;0.703;0.666;0.780
205;0.351;0.836;1.23
210;0.351;1.26;0.531
215;1.08;0.757;1.19
220;0.00;0.780;1.59
225;0.351;0.768;0.780
230;1.08;1.15;1.14
235;1.08;0.747;1.45
240;1.08;1.17;0.927
245;0.00;0.893;1.38
250;1.08;0.746;0.769
255;0.00;1.24;1.18
260;0.351;0.577;1.27
265;0.351;1.32;0.882
270;1.08;0.577;1.09
275;0.703;0.836;1.16
280;0.351;1.07;0.486
285;0.703;0.249;1.68
290;1.08;0.848;0.633
295;1.08;0.498;1.09
300;1.08;0.905;1.53
305;0.703;0.554;0.418
310;0.703;0.678;0.508
315;0.703;0.747;0.395
320;0.703;0.791;1.55
325;1.08;1.09;0.791
330;0.703;0.577;1.46
335;1.08;0.950;1.64
340;0.703;0.972;0.881
345;1.08;1.15;0.972
350;0.351;0.667;0.723
355;0.703;0.587;1.17
360;0.351;1.42;1.25
365;0.703;0.961;0.532
370;0.704;1.04;1.41
375;0.703;0.893;1.26
380;0.703;1.03;0.927
385;1.08;1.11;0.904
390;0.703;1.20;1.25
395;0.703;1.23;0.678
400;0.703;1.30;0.916
405;0.351;1.37;1.47
410;0.703;1.20;1.24
415;0.704;0.961;0.893
420;0.351;0.204;1.10
425;1.08;1.30;0.633
430;0.703;0.723;1.08
435;1.08;1.38;1.22
440;0.351;1.55;0.712
445;1.08;0.565;0.520
450;0.703;0.701;0.633
455;1.08;0.452;1.30
460;0.703;1.23;0.542
465;0.703;0.746;1.39
470;1.08;0.373;1.01
475;0.703;1.45;0.441
480;0.351;0.644;1.16
485;1.08;1.01;0.644
490;0.351;1.66;0.690
495;1.08;1.77;1.19
500;1.08;0.893;0.644
505;0.703;1.81;1.30
510;1.08;0.577;1.26
515;0.703;1.17;1.47
520;0.351;0.452;0.905
525;0.703;0.712;1.07
530;0.703;0.960;1.71
535;0.351;0.972;1.03
540;0.703;0.859;0.656
545;0.703;0.610;1.26
550;0.351;1.22;1.63
555;0.703;0.905;0.656
560;0.703;1.59;0.441
565;0.351;0.610;1.45
570;0.00;0.757;1.01
575;0.351;1.34;0.802
580;1.08;1.19;0.666
585;0.703;1.12;1.07
590;0.351;0.848;0.532
595;0.351;0.565;2.53
600;0.00;1.28;1.77
