tiempo;voip;vod;ftp
0;7.7;7.6;11.75
5;9.4;8.75;6.85
10;6.8;9.75;5.9
15;6.1;4.5;8.7
20;7.6;5.55;9.7
25;6.95;6.45;8.6
30;10;5.35;7.6
35;7.15;8.25;6.5
40;10;9;9.3
45;7.05;7.95;6.1
50;8;8.8;5.1
55;7.3;7.85;10
60;8.25;8.7;6.95
65;7.65;7.6;7.9
70;8.5;6.65;8.8
75;7.7;5.65;7.9
80;7.7;6.5;6.75
85;7.8;5.4;9.65
90;6.8;8.3;6.5
95;7.95;7.2;9.2
100;6.9;8.1;12.2
105;10;5;7.2
110;10.05;9.95;8.15
115;10;7.05;9.25
120;9.05;10;9.3
125;10;7;7.2
130;13.05;7.05;10.1
135;8;7.1;9.25
140;9.05;7.9;10.15
145;8;8.95;9
150;7.05;7.95;9.95
155;8.15;8.9;7
160;3.55;9.7;9.85
165;6.4;6.55;8.7
170;7.7;9.5;9.8
175;6.7;6.45;8.6
180;9.85;7.25;7.65
185;8.9;8.15;6.55
190;7.8;7.2;7.55
195;6.8;8;8.35
200;7.8;7;9.4
205;6.6;8;10.2
210;9.65;8.9;7.1
215;6.5;7.65;9.9
220;7.55;6.55;8.75
225;8.5;7.55;7.7
230;9.3;8.45;6.55
235;8.25;9.3;7.45
240;7.25;8.15;10.35
245;10.05;9;7.4
250;9.2;7.95;10.2
255;8.05;6.95;5.05
260;7.05;9.85;8.05
265;8;10.7;7.05
270;9;7.65;9.9
275;7.95;6.4;6.7
280;6.7;9.55;9.7
285;9.8;10.4;6.5
290;6.7;9.35;7.85
295;9.7;8.2;8.7
300;6.65;7.05;7.65
305;7.45;6;10.55
310;8.35;6.7;9.6
315;7.35;15.9;8.45
320;8.3;8.7;9.25
325;9.2;7.65;10.15
330;8.1;6.5;7.1
335;7.15;7.45;8.05
340;8;8.3;7
345;7;5.25;5.9
350;12;6.2;8.75
355;7.15;3.3;9.45
360;8;8.1;10.5
365;6.9;9.15;7.2
370;10.05;10;8.05
375;7.1;6.85;8.9
380;10;9.8;9.95
385;6.9;10.6;6.75
390;11.8;7.45;5.65
395;8.65;8.65;10.55
400;9.65;7.6;5.4
405;8.55;8.45;10.3
410;9.4;9.55;7.15
415;10.25;6.35;10.05
420;7.2;9.25;6.95
425;8.1;8.2;7.8
430;9.15;7.05;16.75
435;8;9.95;7.7
440;8.9;8.8;12.65
445;5.75;7.9;9.7
450;6.65;8.65;10.6
455;7.5;9.75;9.7
460;6.5;6.5;6.4
465;5.4;9.45;7.5
470;8.25;8.4;4.35
475;9.1;11.45;7.45
480;9.95;8.35;6.25
485;8.8;9.3;7.2
490;5.7;8.2;7.95
495;6.55;5.2;5.2
500;7.65;6.05;10.05
505;8.5;7.05;4.95
510;5.4;9.9;7.9
515;8.25;10.8;12.6
520;9.2;7.85;9.65
525;6.1;6.8;8.55
530;9;9.65;7.4
535;9.85;6.45;6.4
540;4.65;7.5;7.25
545;9.55;6.4;8.1
550;6.5;7.2;9
555;7.4;8;5.9
560;6.15;9.05;6.75
565;7.35;7.95;7.6
570;8.15;8.85;6.5
575;5;7.9;9.5
580;9.85;6.75;6.3
585;8.7;5.7;7.45
590;11.65;6.55;8.3
595;8.55;7.4;7.35
600;7.6;8.25;10.55
