tiempo;voip;vod;ftp
0;15.4;15.2;23.5
5;18.8;17.5;13.7
10;13.6;19.5;11.8
15;12.2;9;17.4
20;15.2;11.1;19.4
25;13.9;12.9;17.2
30;20;10.7;15.2
35;14.3;16.5;13
40;20;18;18.6
45;14.1;15.9;12.2
50;16;17.6;10.2
55;14.6;15.7;20
60;16.5;17.4;13.9
65;15.3;15.2;15.8
70;17;13.3;17.6
75;15.4;11.3;15.8
80;15.4;13;13.5
85;15.6;10.8;19.3
90;13.6;16.6;13
95;15.9;14.4;18.4
100;13.8;16.2;24.4
105;20;10;14.4
110;20.1;19.9;16.3
115;20;14.1;18.5
120;18.1;20;18.6
125;20;14;14.4
130;26.1;14.1;20.2
135;16;14.2;18.5
140;18.1;15.8;20.3
145;16;17.9;18
150;14.1;15.9;19.9
155;16.3;17.8;14
160;7.1;19.4;19.7
165;12.8;13.1;17.4
170;15.4;19;19.6
175;13.4;12.9;17.2
180;19.7;14.5;15.3
185;17.8;16.3;13.1
190;15.6;14.4;15.1
195;13.6;16;16.7
200;15.6;14;18.8
205;13.2;16;20.4
210;19.3;17.8;14.2
215;13;15.3;19.8
220;15.1;13.1;17.5
225;17;15.1;15.4
230;18.6;16.9;13.1
235;16.5;18.6;14.9
240;14.5;16.3;20.7
245;20.1;18;14.8
250;18.4;15.9;20.4
255;16.1;13.9;10.1
260;14.1;19.7;16.1
265;16;21.4;14.1
270;18;15.3;19.8
275;15.9;12.8;13.4
280;13.4;19.1;19.4
285;19.6;20.8;13
290;13.4;18.7;15.7
295;19.4;16.4;17.4
300;13.3;14.1;15.3
305;14.9;12;21.1
310;16.7;13.4;19.2
315;14.7;31.8;16.9
320;16.6;17.4;18.5
325;18.4;15.3;20.3
330;16.2;13;14.2
335;14.3;14.9;16.1
340;16;16.6;14
345;14;10.5;11.8
350;24;12.4;17.5
355;14.3;6.6;18.9
360;16;16.2;21
365;13.8;18.3;14.4
370;20.1;20;16.1
375;14.2;13.7;17.8
380;20;19.6;19.9
385;13.8;21.2;13.5
390;23.6;14.9;11.3
395;17.3;17.3;21.1
400;19.3;15.2;10.8
405;17.1;16.9;20.6
410;18.8;19.1;14.3
415;20.5;12.7;20.1
420;14.4;18.5;13.9
425;16.2;16.4;15.6
430;18.3;14.1;33.5
435;16;19.9;15.4
440;17.8;17.6;25.3
445;11.5;15.8;19.4
450;13.3;17.3;21.2
455;15;19.5;19.4
460;13;13;12.8
465;10.8;18.9;15
470;16.5;16.8;8.7
475;18.2;22.9;14.9
480;19.9;16.7;12.5
485;17.6;18.6;14.4
490;11.4;16.4;15.9
495;13.1;10.4;10.4
500;15.3;12.1;20.1
505;17;14.1;9.9
510;10.8;19.8;15.8
515;16.5;21.6;25.2
520;18.4;15.7;19.3
525;12.2;13.6;17.1
530;18;19.3;14.8
535;19.7;12.9;12.8
540;9.3;15;14.5
545;19.1;12.8;16.2
550;13;14.4;18
555;14.8;16;11.8
560;12.3;18.1;13.5
565;14.7;15.9;15.2
570;16.3;17.7;13
575;10;15.8;19
580;19.7;13.5;12.6
585;17.4;11.4;14.9
590;23.3;13.1;16.6
595;17.1;14.8;14.7
600;15.2;16.5;21.1
