tiempo;voip;vod;ftp
0;17.8;13.8;17.7
5;12.8;16.65;14.9
10;11.55;15.45;13.65
15;166.3;12.5;108.6
20;11.25;13.45;13.55
25;14.1;14.25;12.55
30;14.95;13.2;15.45
35;13.8;154.05;18.25
40;16.75;14.85;13.15
45;13.5;12;12.05
50;14.5;11;114.9
55;13.45;15.65;259.8
60;14.15;16.55;14.6
65;141.1;13.35;11.6
70;13.9;14.25;14.45
75;14.7;15.1;11.25
80;13.6;15.95;110.25
85;14.45;12.8;33.2
90;31.35;14;114.2
95;12.3;14.8;17.05
100;145.1;17.6;113.95
105;11.9;110.4;108.75
110;10.65;7.2;111.5
115;13.55;14.05;16.3
120;124.45;15.05;255.2
125;15.35;9.85;14.1
130;14.05;14.7;12.9
135;16.9;33.65;13.75
140;13.75;12.6;12.7
145;14.7;171.75;13.8
150;9.9;17;17
155;14.85;13.95;209.75
160;14;13.15;14.85
165;13.35;12.4;17.8
170;10.5;13.7;14.85
175;13.95;10.95;14.3
180;19.05;10.2;9.6
185;8.2;9.3;12.9
190;11.3;13;9.95
195;12.45;8.45;105.5
200;9.8;7.65;10.8
205;9.2;11;12.25
210;8.4;8.2;11.65
215;9.55;7.45;8.65
220;12.5;6.8;11.6
225;9.65;10;12.75
230;8.75;13;9.9
235;7.85;11.95;12.9
240;10.7;11.4;7.9
245;11.8;8.7;12.8
250;9.1;9.7;12.05
255;8.05;8.45;11.35
260;7.2;7.4;10.45
265;9.95;10.75;9.5
270;7.15;11.85;8.4
275;8.45;9.05;9.65
280;11.5;8.05;10.85
285;8.25;9.05;513.8
290;9.05;8.3;508.85
295;6.2;9.9;7.9
300;11.4;8.95;7.25
305;10.35;11.85;12.35
310;9.25;8.85;9.5
315;10.3;10.3;8.4
320;9.45;9.3;9.75
325;10.5;8.3;8.9
330;9.35;11.3;7.9
335;12.2;8.4;6.7
340;11.45;9.95;7.45
345;8.55;7.1;12.8
350;7.45;10.2;10
355;8.45;7.25;11.05
360;9.55;10.4;10
365;7.05;10;11.05
370;8.05;9.4;12.25
375;11;8.45;9.65
380;9.95;7.7;8.6
385;9.25;8.7;11.6
390;8.5;10;10.65
395;9.8;9.55;9.95
400;8.75;10.5;7.1
405;11.8;7.65;8.15
410;10.9;12.6;9.35
415;10.3;12;8.35
420;7.3;11.1;7.45
425;6.3;10.05;8.6
430;11.3;9.15;9.55
435;10.45;10;8.55
440;9.7;9.3;11.75
445;12.5;8.6;10.9
450;9.4;11.65;11.9
455;8.35;8.8;8.9
460;9.8;11.95;13.95
465;8.8;7.2;9.25
470;9.75;10.35;8.45
475;10.55;7.5;9.55
480;9.75;8.5;12.5
485;11.2;9.7;5.45
490;8.1;12.85;10.75
495;9.2;7.95;11.85
500;8.15;9.3;7.05
505;9.35;8.5;8
510;8.6;9.7;5.15
515;9.6;9.1;6.45
520;10.4;6.25;9.7
525;9.45;9.45;8.55
530;8.55;10.25;9.6
535;9.65;13.55;6.75
540;16.65;8.8;10
545;9.65;8;9.15
550;10.7;9.2;8.05
555;8;12.25;13
560;9.45;11.4;10.25
565;10.45;10.85;7.55
570;11.5;12;6.55
575;10.65;9.2;9.6
580;7.95;10.3;12.7
585;11.2;9.45;9.9
590;6.1;8.95;11
595;11.1;14.05;11.85
600;8.15;5;10.8
