tiempo;voip;vod;ftp
0;0;0;7
1;1;10;11
2;0;3;8
3;1;0;7
4;0;4;9
5;0;7;8
6;1;4;0
7;0;5;6
8;0;9;4
9;0;4;7
10;3;5;10
11;1;7;3
12;0;7;5
13;1;7;5
14;1;2;5
15;1;6;8
16;0;6;2
17;2;4;7
18;2;8;5
19;0;3;7
20;0;6;6
21;2;7;7
22;0;4;5
23;1;4;6
24;0;6;6
25;2;6;5
26;0;5;4
27;0;5;5
28;0;4;6
29;1;4;9
30;1;6;3
31;2;6;9
32;0;6;2
33;1;6;5
34;0;6;5
35;0;8;6
36;4;7;6
37;0;6;6
38;0;9;8
39;0;8;6
40;0;2;7
41;0;4;9
42;0;6;7
43;2;2;7
44;0;6;4
45;1;5;6
46;0;5;5
47;1;6;6
48;0;7;5
49;0;4;5
50;1;8;5
51;1;5;7
52;0;5;7
53;2;5;6
54;1;2;4
55;1;6;9
56;0;5;3
57;1;10;6
58;0;6;5
59;0;11;9
60;2;5;5
61;0;8;4
62;1;5;9
63;1;5;7
64;0;6;6
65;3;9;8
66;1;4;9
67;0;8;9
68;3;7;6
69;1;9;6
70;1;7;6
71;0;3;6
72;1;8;6
73;0;6;8
74;0;3;6
75;1;3;5
76;0;1;8
77;0;3;6
78;2;1;7
79;1;5;6
80;1;4;3
81;0;5;2
82;0;4;2
83;2;1;0
84;1;4;6
85;0;8;6
86;2;3;3
87;0;6;2
88;0;6;6
89;0;5;6
90;2;4;5
91;0;3;5
92;0;5;5
93;3;10;4
94;1;3;4
95;0;5;7
96;1;6;5
97;1;4;6
98;0;5;5
99;1;6;6
100;0;7;4
101;0;5;7
102;0;8;7
103;2;6;6
104;0;6;7
105;1;2;9
106;2;6;7
107;0;6;7
108;1;10;7
109;0;6;6
110;0;4;5
111;0;6;4
112;3;4;9
113;0;3;6
114;1;12;5
115;0;5;4
116;0;3;7
117;1;4;7
118;1;6;7
119;0;6;5
120;3;4;6
121;1;6;8
122;1;5;4
123;0;6;4
124;0;6;6
125;0;4;7
126;1;6;6
127;1;9;7
128;1;7;5
129;0;10;6
130;0;5;4
131;2;5;6
132;0;4;11
133;0;6;4
134;2;5;8
135;1;9;5
136;0;3;6
137;1;9;5
138;2;9;4
139;0;7;7
140;1;5;5
141;0;6;6
142;0;3;8
143;5;7;8
144;0;3;9
145;0;6;7
146;4;9;4
147;1;11;1
148;0;6;12
149;0;9;4
150;0;5;6
151;0;8;9
152;0;3;8
153;1;9;8
154;1;8;6
155;1;4;5
156;1;6;7
157;0;5;7
158;0;5;4
159;0;7;6
160;3;5;6
161;1;4;7
162;1;7;3
163;0;5;7
164;1;7;5
165;0;9;5
166;0;8;5
167;2;4;9
168;0;7;4
169;0;7;9
170;0;5;7
171;3;3;5
172;1;8;9
173;0;5;9
174;2;8;9
175;0;5;8
176;2;4;7
177;0;3;5
178;1;5;5
179;0;3;8
180;3;2;8
