tiempo;voip;vod;ftp
0;15.8;9.8;7.75
5;9.2;6.65;6.85
10;10.2;9.55;7.7
15;7;10.35;6.45
20;7.85;9.2;7.3
25;8.6;10.2;6.05
30;7.5;11.1;9.15
35;6.4;10;5.95
40;9.55;12.75;8.75
45;4.4;9.45;9.55
50;9.2;10.45;8.4
55;8.05;9.25;9.2
60;9;12.1;8
65;5.95;9;7.1
70;8.9;9.7;7.85
75;7.85;8.5;8.75
80;6.75;11.45;7.5
85;9.7;8.55;8.5
90;4.65;5.7;11.85
95;7.85;11;8.85
100;4.8;8.2;8.05
105;7.8;11.35;7.2
110;9.05;10.6;8.5
115;10.35;9.7;7.75
120;5.45;9.15;6.85
125;8.8;8;8.15
130;11.9;17.25;7.35
135;6.8;10.25;8.4
140;10.15;9.45;7.8
145;9.35;10.5;8.8
150;6.4;7.65;9.8
155;9.3;10.55;8.75
160;4.45;9.4;9.7
165;7.45;10.15;6.55
170;6.3;11.05;11.3
175;7.3;10;6.1
180;10.3;8.75;8.95
185;7.45;7.7;7.75
190;8.25;8.6;8.65
195;5.35;11.3;7.4
200;6.3;12.1;6.25
205;9.05;10.9;7.1
210;8.1;13.7;7.95
215;7.15;8.55;8.75
220;8.1;7.35;7.75
225;7.15;8.7;10.65
230;8.15;10;9.9
235;9.4;7.25;8.9
240;4.4;8.1;5.8
245;5.7;10.95;4.85
250;6.65;9.85;7.8
255;5.55;10.55;10.6
260;6.55;11.35;9.3
265;7.45;10.1;6.25
270;6.6;10.95;9.2
275;3.65;9.75;8.1
280;6.6;10.6;6.9
285;5.6;9.3;9.7
290;4.65;8.1;6.55
295;5.95;11;9.55
300;6.9;7.85;6.35
305;3.85;10.65;9.3
310;6.85;9.4;6.05
315;3.85;8.15;7
320;4.95;11.1;5.8
325;3.95;7.95;6.55
330;8.8;8.85;9.2
335;5.75;10;8.2
340;7.05;11.15;7.4
345;6.15;13.95;10.5
350;5.4;10.9;9.35
355;4.4;7.85;6.35
360;5.45;8.7;9.4
365;6.7;9.6;6.1
370;3.7;8.35;7
375;2.7;9.35;9.75
380;3.6;8.25;8.6
385;6.7;11.2;9.55
390;5.85;10;6.4
395;4.9;6.85;9.3
400;6;11.7;10.1
405;3;10.55;5.1
410;4.4;7.45;5.9
415;3.65;10.3;4.85
420;6.85;9.05;9.6
425;3.95;10;8.35
430;5;8.7;7.1
435;6.35;9.5;9.9
440;3.45;12.3;8.7
445;6.65;9.15;9.55
450;3.85;12;10.45
455;7.2;8.9;9.2
460;2.45;9.8;8.05
465;3.85;8.7;8.9
470;5.1;11.55;9.7
475;4.4;12.4;6.55
480;5.75;7.15;7.5
485;7.3;8;8.35
490;2.45;10.85;7.25
495;3.85;8;6.45
500;5.2;11;7.65
505;6.45;11.75;6.45
510;3.75;8.7;7.3
515;7;9.45;8.15
520;6.15;8.4;7.05
525;3.2;11.2;9.95
530;6.3;9.95;6.75
535;5.2;10.8;9.6
540;4;7.65;6.5
545;5.15;10.5;7.3
550;4;9.3;10.05
555;5.2;10.1;7.15
560;8;8.95;9.95
565;5.25;7.55;4.8
570;4.05;10.5;9.55
575;3.05;9.3;6.4
580;5.9;10.25;9.3
585;7.15;10.95;6.05
590;4.2;7.8;7
595;7.1;10.8;5.7
600;7.9;9.65;10.55
