tiempo;voip;vod;ftp
0;31.6;19.6;15.5
5;18.4;13.3;13.7
10;20.4;19.1;15.4
15;14.0;20.7;12.9
20;15.7;18.4;14.6
25;17.2;20.4;12.1
30;15.0;22.2;18.3
35;12.8;20.0;11.9
40;19.1;25.5;17.5
45;8.8;18.9;19.1
50;18.4;20.9;16.8
55;16.1;18.5;18.4
60;18.0;24.2;16.0
65;11.9;18.0;14.2
70;17.8;19.4;15.7
75;15.7;17.0;17.5
80;13.5;22.9;15.0
85;19.4;17.1;17.0
90;9.3;11.4;23.7
95;15.7;22.0;17.7
100;9.6;16.4;16.1
105;15.6;22.7;14.4
110;18.1;21.2;17.0
115;20.7;19.4;15.5
120;10.9;18.3;13.7
125;17.6;16.0;16.3
130;23.8;34.5;14.7
135;13.6;20.5;16.8
140;20.3;18.9;15.6
145;18.7;21.0;17.6
150;12.8;15.3;19.6
155;18.6;21.1;17.5
160;8.9;18.8;19.4
165;14.9;20.3;13.1
170;12.6;22.1;22.6
175;14.6;20.0;12.2
180;20.6;17.5;17.9
185;14.9;15.4;15.5
190;16.5;17.2;17.3
195;10.7;22.6;14.8
200;12.6;24.2;12.5
205;18.1;21.8;14.2
210;16.2;27.4;15.9
215;14.3;17.1;17.5
220;16.2;14.7;15.5
225;14.3;17.4;21.3
230;16.3;20.0;19.8
235;18.8;14.5;17.8
240;8.8;16.2;11.6
245;11.4;21.9;9.7
250;13.3;19.7;15.6
255;11.1;21.1;21.2
260;13.1;22.7;18.6
265;14.9;20.2;12.5
270;13.2;21.9;18.4
275;7.3;19.5;16.2
280;13.2;21.2;13.8
285;11.2;18.6;19.4
290;9.3;16.2;13.1
295;11.9;22.0;19.1
300;13.8;15.7;12.7
305;7.7;21.3;18.6
310;13.7;18.8;12.1
315;7.7;16.3;14.0
320;9.9;22.2;11.6
325;7.9;15.9;13.1
330;17.6;17.7;18.4
335;11.5;20.0;16.4
340;14.1;22.3;14.8
345;12.3;27.9;21.0
350;10.8;21.8;18.7
355;8.8;15.7;12.7
360;10.9;17.4;18.8
365;13.4;19.2;12.2
370;7.4;16.7;14.0
375;5.4;18.7;19.5
380;7.2;16.5;17.2
385;13.4;22.4;19.1
390;11.7;20.0;12.8
395;9.8;13.7;18.6
400;12.0;23.4;20.2
405;6.0;21.1;10.2
410;8.8;14.9;11.8
415;7.3;20.6;9.7
420;13.7;18.1;19.2
425;7.9;20.0;16.7
430;10.0;17.4;14.2
435;12.7;19.0;19.8
440;6.9;24.6;17.4
445;13.3;18.3;19.1
450;7.7;24.0;20.9
455;14.4;17.8;18.4
460;4.9;19.6;16.1
465;7.7;17.4;17.8
470;10.2;23.1;19.4
475;8.8;24.8;13.1
480;11.5;14.3;15.0
485;14.6;16.0;16.7
490;4.9;21.7;14.5
495;7.7;16.0;12.9
500;10.4;22.0;15.3
505;12.9;23.5;12.9
510;7.5;17.4;14.6
515;14.0;18.9;16.3
520;12.3;16.8;14.1
525;6.4;22.4;19.9
530;12.6;19.9;13.5
535;10.4;21.6;19.2
540;8.0;15.3;13.0
545;10.3;21.0;14.6
550;8.0;18.6;20.1
555;10.4;20.2;14.3
560;16.0;17.9;19.9
565;10.5;15.1;9.6
570;8.1;21.0;19.1
575;6.1;18.6;12.8
580;11.8;20.5;18.6
585;14.3;21.9;12.1
590;8.4;15.6;14.0
595;14.2;21.6;11.4
600;15.8;19.3;21.1
